Calibration,118,
8/4/2019,2:45:10 AM,0.008474576
8/4/2019,2:47:00 AM,0.008474576
8/4/2019,2:50:05 AM,0.008474576
8/4/2019,2:51:55 AM,0.008474576
8/4/2019,2:55:10 AM,0.008474576
8/4/2019,2:57:05 AM,0.008474576
8/4/2019,3:00:30 AM,0.008474576
8/4/2019,3:02:30 AM,0.008474576
8/4/2019,3:06:00 AM,0.008474576
8/4/2019,3:08:00 AM,0.008474576
8/4/2019,3:11:35 AM,0.008474576
8/4/2019,3:13:35 AM,0.008474576
8/4/2019,3:17:05 AM,0.008474576
8/4/2019,3:19:05 AM,0.008474576
8/4/2019,3:22:35 AM,0.008474576
8/4/2019,3:24:40 AM,0.008474576
8/4/2019,3:28:15 AM,0.008474576
8/4/2019,3:30:15 AM,0.008474576
8/4/2019,3:33:50 AM,0.008474576
8/4/2019,3:36:00 AM,0.008474576
8/4/2019,3:39:45 AM,0.008474576
8/4/2019,3:42:00 AM,0.008474576
8/4/2019,3:45:55 AM,0.008474576
8/4/2019,3:48:20 AM,0.008474576
8/4/2019,3:52:15 AM,0.008474576
8/4/2019,3:54:45 AM,0.008474576
8/4/2019,3:58:50 AM,0.008474576
8/4/2019,4:01:25 AM,0.008474576
8/4/2019,4:05:55 AM,0.008474576
8/4/2019,4:08:40 AM,0.008474576
8/4/2019,4:13:35 AM,0.008474576
8/4/2019,4:16:25 AM,0.008474576
8/4/2019,4:21:40 AM,0.008474576
8/4/2019,4:24:50 AM,0.008474576
8/4/2019,4:30:30 AM,0.008474576
8/4/2019,4:33:55 AM,0.008474576
8/4/2019,4:40:25 AM,0.008474576
8/4/2019,4:44:05 AM,0.008474576
8/4/2019,4:50:40 AM,0.008474576
8/4/2019,4:54:25 AM,0.008474576
8/4/2019,5:01:15 AM,0.008474576
8/4/2019,5:05:05 AM,0.008474576
8/4/2019,5:12:10 AM,0.008474576
8/4/2019,5:16:15 AM,0.008474576
8/4/2019,5:23:00 AM,0.008474576
8/4/2019,5:26:45 AM,0.008474576
8/4/2019,5:33:15 AM,0.008474576
8/4/2019,5:36:50 AM,0.008474576
8/4/2019,5:43:00 AM,0.008474576
8/4/2019,5:46:35 AM,0.008474576
8/4/2019,5:52:20 AM,0.008474576
8/4/2019,5:55:30 AM,0.008474576
8/4/2019,6:00:55 AM,0.008474576
8/4/2019,6:04:00 AM,0.008474576
8/4/2019,6:09:25 AM,0.008474576
8/4/2019,6:12:30 AM,0.008474576
8/4/2019,6:17:40 AM,0.008474576
8/4/2019,6:20:40 AM,0.008474576
8/4/2019,6:26:05 AM,0.008474576
8/4/2019,6:29:10 AM,0.008474576
8/4/2019,6:34:25 AM,0.008474576
8/4/2019,6:37:35 AM,0.008474576
8/4/2019,6:42:55 AM,0.008474576
8/4/2019,6:46:05 AM,0.008474576
8/4/2019,6:51:35 AM,0.008474576
8/4/2019,6:55:00 AM,0.008474576
8/4/2019,7:00:45 AM,0.008474576
8/4/2019,7:04:05 AM,0.008474576
8/4/2019,7:09:50 AM,0.008474576
8/4/2019,7:12:55 AM,0.008474576
8/4/2019,7:18:20 AM,0.008474576
8/4/2019,7:21:15 AM,0.008474576
8/4/2019,7:26:00 AM,0.008474576
8/4/2019,7:28:35 AM,0.008474576
8/4/2019,7:32:50 AM,0.008474576
8/4/2019,7:35:15 AM,0.008474576
8/4/2019,7:39:40 AM,0.008474576
8/4/2019,7:42:20 AM,0.008474576
8/4/2019,7:47:05 AM,0.008474576
8/4/2019,7:49:55 AM,0.008474576
8/4/2019,7:55:10 AM,0.008474576
8/4/2019,7:58:15 AM,0.008474576
8/4/2019,8:04:05 AM,0.008474576
8/4/2019,8:07:35 AM,0.008474576
8/4/2019,8:14:25 AM,0.008474576
8/4/2019,8:18:35 AM,0.008474576
8/4/2019,8:27:50 AM,0.008474576
8/4/2019,8:34:50 AM,0.008474576
8/4/2019,8:59:25 AM,0.008474576
8/6/2019,3:14:40 AM,0.008474576
8/6/2019,3:21:50 AM,0.008474576
8/6/2019,3:32:50 AM,0.008474576
8/6/2019,3:39:35 AM,0.008474576
8/6/2019,3:50:15 AM,0.008474576
8/6/2019,3:56:20 AM,0.008474576
8/6/2019,4:05:40 AM,0.008474576
8/6/2019,4:10:40 AM,0.008474576
8/6/2019,4:18:50 AM,0.008474576
8/6/2019,4:22:35 AM,0.008474576
8/6/2019,4:29:25 AM,0.008474576
8/6/2019,4:33:00 AM,0.008474576
8/6/2019,4:38:25 AM,0.008474576
8/6/2019,4:41:10 AM,0.008474576
8/6/2019,4:46:00 AM,0.008474576
8/6/2019,4:48:35 AM,0.008474576
8/6/2019,4:53:15 AM,0.008474576
8/6/2019,4:55:50 AM,0.008474576
8/6/2019,5:00:25 AM,0.008474576
8/6/2019,5:03:05 AM,0.008474576
8/6/2019,5:07:45 AM,0.008474576
8/6/2019,5:10:30 AM,0.008474576
8/6/2019,5:15:20 AM,0.008474576
8/6/2019,5:18:20 AM,0.008474576
8/6/2019,5:23:50 AM,0.008474576
8/6/2019,5:27:55 AM,0.008474576
8/6/2019,5:35:35 AM,0.008474576
8/6/2019,5:40:20 AM,0.008474576
8/6/2019,5:49:15 AM,0.008474576
8/6/2019,5:54:50 AM,0.008474576
8/6/2019,6:05:05 AM,0.008474576
8/6/2019,6:11:05 AM,0.008474576
8/6/2019,6:20:20 AM,0.008474576
8/6/2019,6:25:05 AM,0.008474576
8/6/2019,6:33:20 AM,0.008474576
8/6/2019,6:38:15 AM,0.008474576
8/6/2019,6:47:10 AM,0.008474576
8/6/2019,6:52:50 AM,0.008474576
8/6/2019,7:03:45 AM,0.008474576
8/6/2019,7:10:45 AM,0.008474576
8/6/2019,7:24:40 AM,0.008474576
8/6/2019,7:34:00 AM,0.008474576
8/6/2019,7:52:50 AM,0.008474576
8/6/2019,8:07:15 AM,0.008474576
8/6/2019,8:42:35 AM,0.008474576
8/6/2019,9:53:45 AM,0.008474576
8/10/2019,11:47:05 PM,0.008474576
8/10/2019,11:51:55 PM,0.008474576
8/10/2019,11:58:05 PM,0.008474576
8/11/2019,12:01:35 AM,0.008474576
8/11/2019,12:07:15 AM,0.008474576
8/11/2019,12:10:50 AM,0.008474576
8/11/2019,12:16:50 AM,0.008474576
8/11/2019,12:20:30 AM,0.008474576
8/11/2019,12:27:10 AM,0.008474576
8/11/2019,12:31:30 AM,0.008474576
8/11/2019,12:39:20 AM,0.008474576
8/11/2019,12:44:25 AM,0.008474576
8/11/2019,12:55:05 AM,0.008474576
8/11/2019,1:02:45 AM,0.008474576
8/11/2019,1:23:10 AM,0.008474576
8/11/2019,1:42:55 AM,0.008474576
8/11/2019,2:43:25 AM,0.008474576
8/11/2019,3:31:30 AM,0.008474576
8/11/2019,4:43:05 AM,0.008474576
8/11/2019,5:01:35 AM,0.008474576
8/11/2019,5:26:10 AM,0.008474576
8/11/2019,5:39:10 AM,0.008474576
8/11/2019,5:59:10 AM,0.008474576
8/11/2019,6:09:25 AM,0.008474576
8/11/2019,6:22:40 AM,0.008474576
8/11/2019,6:28:35 AM,0.008474576
8/11/2019,6:35:50 AM,0.008474576
8/11/2019,6:39:50 AM,0.008474576
8/11/2019,6:46:20 AM,0.008474576
8/11/2019,6:49:55 AM,0.008474576
8/11/2019,6:55:55 AM,0.008474576
8/11/2019,6:59:15 AM,0.008474576
8/11/2019,7:04:40 AM,0.008474576
8/11/2019,7:07:35 AM,0.008474576
8/11/2019,7:12:15 AM,0.008474576
8/11/2019,7:15:10 AM,0.008474576
8/11/2019,7:20:10 AM,0.008474576
8/11/2019,7:23:15 AM,0.008474576
8/11/2019,7:29:15 AM,0.008474576
8/11/2019,7:33:15 AM,0.008474576
8/11/2019,7:43:50 AM,0.008474576
8/11/2019,7:51:05 AM,0.008474576
8/11/2019,8:05:10 AM,0.008474576
8/11/2019,8:13:35 AM,0.008474576
8/13/2019,7:13:25 AM,0.008474576
8/13/2019,7:14:00 AM,0.008474576
8/13/2019,7:20:00 AM,0.008474576
8/13/2019,7:23:35 AM,0.008474576
8/13/2019,7:29:30 AM,0.008474576
8/13/2019,7:33:20 AM,0.008474576
8/13/2019,7:39:45 AM,0.008474576
8/13/2019,7:43:35 AM,0.008474576
8/13/2019,7:50:30 AM,0.008474576
8/13/2019,7:54:45 AM,0.008474576
8/13/2019,8:02:25 AM,0.008474576
8/13/2019,8:07:35 AM,0.008474576
8/13/2019,8:19:50 AM,0.008474576
8/13/2019,8:38:50 AM,0.008474576
8/16/2019,3:25:40 AM,0.008474576
8/16/2019,3:34:35 AM,0.008474576
8/16/2019,3:51:25 AM,0.008474576
8/16/2019,4:02:00 AM,0.008474576
8/16/2019,4:17:40 AM,0.008474576
8/16/2019,4:26:20 AM,0.008474576
8/16/2019,4:39:15 AM,0.008474576
8/16/2019,4:45:45 AM,0.008474576
8/16/2019,4:55:35 AM,0.008474576
8/16/2019,5:01:10 AM,0.008474576
8/16/2019,5:10:50 AM,0.008474576
8/16/2019,5:16:55 AM,0.008474576
8/16/2019,5:27:50 AM,0.008474576
8/16/2019,5:33:35 AM,0.008474576
8/16/2019,5:39:55 AM,0.008474576
8/16/2019,5:43:00 AM,0.008474576
8/16/2019,5:48:00 AM,0.008474576
8/16/2019,5:51:00 AM,0.008474576
8/16/2019,5:56:15 AM,0.008474576
8/16/2019,5:59:25 AM,0.008474576
8/16/2019,6:05:25 AM,0.008474576
8/16/2019,6:09:55 AM,0.008474576
8/16/2019,6:19:15 AM,0.008474576
8/16/2019,6:25:25 AM,0.008474576
8/16/2019,6:37:15 AM,0.008474576
8/16/2019,6:44:25 AM,0.008474576
8/16/2019,6:56:10 AM,0.008474576
8/16/2019,7:02:40 AM,0.008474576
8/16/2019,7:13:25 AM,0.008474576
8/16/2019,7:19:05 AM,0.008474576
8/16/2019,7:27:05 AM,0.008474576
8/16/2019,7:31:10 AM,0.008474576
8/16/2019,7:37:45 AM,0.008474576
8/16/2019,7:41:30 AM,0.008474576
8/16/2019,7:47:55 AM,0.008474576
8/16/2019,7:51:45 AM,0.008474576
8/16/2019,7:58:45 AM,0.008474576
8/16/2019,8:03:15 AM,0.008474576
8/16/2019,8:12:15 AM,0.008474576
8/16/2019,8:19:45 AM,0.008474576
8/16/2019,8:59:55 AM,0.008474576
8/22/2019,1:45:40 AM,0.008474576
8/22/2019,1:46:05 AM,0.008474576
8/22/2019,1:48:25 AM,0.008474576
8/22/2019,1:51:55 AM,0.008474576
8/22/2019,1:54:05 AM,0.008474576
8/22/2019,1:58:00 AM,0.008474576
8/22/2019,2:00:25 AM,0.008474576
8/22/2019,2:04:25 AM,0.008474576
8/22/2019,2:06:50 AM,0.008474576
8/22/2019,2:10:35 AM,0.008474576
8/22/2019,2:12:40 AM,0.008474576
8/22/2019,2:16:15 AM,0.008474576
8/22/2019,2:18:25 AM,0.008474576
8/22/2019,2:21:50 AM,0.008474576
8/22/2019,2:23:55 AM,0.008474576
8/22/2019,2:27:30 AM,0.008474576
8/22/2019,2:29:55 AM,0.008474576
8/22/2019,2:34:10 AM,0.008474576
8/22/2019,2:37:00 AM,0.008474576
8/22/2019,2:42:20 AM,0.008474576
8/22/2019,2:45:55 AM,0.008474576
8/22/2019,2:53:25 AM,0.008474576
8/22/2019,2:59:05 AM,0.008474576
8/22/2019,3:09:40 AM,0.008474576
8/22/2019,3:17:00 AM,0.008474576
8/22/2019,3:31:40 AM,0.008474576
8/22/2019,3:39:20 AM,0.008474576
8/22/2019,3:52:10 AM,0.008474576
8/22/2019,4:00:55 AM,0.008474576
8/22/2019,4:15:55 AM,0.008474576
8/22/2019,4:21:25 AM,0.008474576
8/22/2019,4:26:25 AM,0.008474576
8/22/2019,4:28:05 AM,0.008474576
8/22/2019,4:30:45 AM,0.008474576
8/22/2019,4:32:15 AM,0.008474576
8/22/2019,4:34:30 AM,0.008474576
8/22/2019,4:35:45 AM,0.008474576
8/22/2019,4:37:45 AM,0.008474576
8/22/2019,4:38:55 AM,0.008474576
8/22/2019,4:40:50 AM,0.008474576
8/22/2019,4:41:55 AM,0.008474576
8/22/2019,4:43:50 AM,0.008474576
8/22/2019,4:45:05 AM,0.008474576
8/22/2019,4:46:55 AM,0.008474576
8/22/2019,4:48:05 AM,0.008474576
8/22/2019,4:50:05 AM,0.008474576
8/22/2019,4:51:20 AM,0.008474576
8/22/2019,4:53:20 AM,0.008474576
8/22/2019,4:54:30 AM,0.008474576
8/22/2019,4:56:30 AM,0.008474576
8/22/2019,4:57:40 AM,0.008474576
8/22/2019,4:59:40 AM,0.008474576
8/22/2019,5:00:50 AM,0.008474576
8/22/2019,5:02:50 AM,0.008474576
8/22/2019,5:04:00 AM,0.008474576
8/22/2019,5:06:00 AM,0.008474576
8/22/2019,5:07:10 AM,0.008474576
8/22/2019,5:09:10 AM,0.008474576
8/22/2019,5:10:20 AM,0.008474576
8/22/2019,5:12:20 AM,0.008474576
8/22/2019,5:13:30 AM,0.008474576
8/22/2019,5:15:30 AM,0.008474576
8/22/2019,5:16:35 AM,0.008474576
8/22/2019,5:18:25 AM,0.008474576
8/22/2019,5:19:30 AM,0.008474576
8/22/2019,5:21:20 AM,0.008474576
8/22/2019,5:22:25 AM,0.008474576
8/22/2019,5:24:10 AM,0.008474576
8/22/2019,5:25:10 AM,0.008474576
8/22/2019,5:27:00 AM,0.008474576
8/22/2019,5:28:05 AM,0.008474576
8/22/2019,5:29:55 AM,0.008474576
8/22/2019,5:31:00 AM,0.008474576
8/22/2019,5:32:50 AM,0.008474576
8/22/2019,5:33:55 AM,0.008474576
8/22/2019,5:35:45 AM,0.008474576
8/22/2019,5:36:50 AM,0.008474576
8/22/2019,5:38:40 AM,0.008474576
8/22/2019,5:39:45 AM,0.008474576
8/22/2019,5:41:40 AM,0.008474576
8/22/2019,5:42:40 AM,0.008474576
8/22/2019,5:44:30 AM,0.008474576
8/22/2019,5:45:30 AM,0.008474576
8/22/2019,5:47:15 AM,0.008474576
8/22/2019,5:48:20 AM,0.008474576
8/22/2019,5:50:05 AM,0.008474576
8/22/2019,5:51:05 AM,0.008474576
8/22/2019,5:52:45 AM,0.008474576
8/22/2019,5:53:45 AM,0.008474576
8/22/2019,5:55:25 AM,0.008474576
8/22/2019,5:56:25 AM,0.008474576
8/22/2019,5:58:05 AM,0.008474576
8/22/2019,5:59:05 AM,0.008474576
8/22/2019,6:00:45 AM,0.008474576
8/22/2019,6:01:50 AM,0.008474576
8/22/2019,6:03:35 AM,0.008474576
8/22/2019,6:04:40 AM,0.008474576
8/22/2019,6:06:30 AM,0.008474576
8/22/2019,6:07:40 AM,0.008474576
8/22/2019,6:09:35 AM,0.008474576
8/22/2019,6:10:45 AM,0.008474576
8/22/2019,6:12:45 AM,0.008474576
8/22/2019,6:14:00 AM,0.008474576
8/22/2019,6:16:00 AM,0.008474576
8/22/2019,6:17:15 AM,0.008474576
8/22/2019,6:19:20 AM,0.008474576
8/22/2019,6:20:35 AM,0.008474576
8/22/2019,6:22:40 AM,0.008474576
8/22/2019,6:23:50 AM,0.008474576
8/22/2019,6:25:55 AM,0.008474576
8/22/2019,6:27:10 AM,0.008474576
8/22/2019,6:29:10 AM,0.008474576
8/22/2019,6:30:25 AM,0.008474576
8/22/2019,6:32:30 AM,0.008474576
8/22/2019,6:33:45 AM,0.008474576
8/22/2019,6:35:55 AM,0.008474576
8/22/2019,6:37:10 AM,0.008474576
8/22/2019,6:39:25 AM,0.008474576
8/22/2019,6:40:45 AM,0.008474576
8/22/2019,6:43:05 AM,0.008474576
8/22/2019,6:44:30 AM,0.008474576
8/22/2019,6:47:05 AM,0.008474576
8/22/2019,6:48:40 AM,0.008474576
8/22/2019,6:51:30 AM,0.008474576
8/22/2019,6:53:15 AM,0.008474576
8/22/2019,6:56:25 AM,0.008474576
8/22/2019,6:58:25 AM,0.008474576
8/22/2019,7:02:10 AM,0.008474576
8/22/2019,7:05:10 AM,0.008474576
8/22/2019,7:10:05 AM,0.008474576
8/22/2019,7:13:05 AM,0.008474576
8/22/2019,7:18:30 AM,0.008474576
8/22/2019,7:21:55 AM,0.008474576
8/22/2019,7:28:45 AM,0.008474576
8/22/2019,7:32:45 AM,0.008474576
8/22/2019,7:39:30 AM,0.008474576
8/22/2019,7:43:35 AM,0.008474576
8/22/2019,7:50:25 AM,0.008474576
8/22/2019,7:54:30 AM,0.008474576
8/22/2019,8:02:10 AM,0.008474576
8/22/2019,8:07:10 AM,0.008474576
8/22/2019,8:18:05 AM,0.008474576
8/22/2019,8:31:55 AM,0.008474576
8/22/2019,9:13:55 AM,0.008474576
8/23/2019,6:52:40 AM,0.008474576
8/25/2019,11:18:30 PM,0.008474576
8/25/2019,11:18:40 PM,0.008474576
8/25/2019,11:25:30 PM,0.008474576
8/25/2019,11:30:10 PM,0.008474576
8/25/2019,11:38:20 PM,0.008474576
8/25/2019,11:42:55 PM,0.008474576
8/25/2019,11:50:55 PM,0.008474576
8/25/2019,11:55:05 PM,0.008474576
8/26/2019,12:02:25 AM,0.008474576
8/26/2019,12:07:00 AM,0.008474576
8/26/2019,12:15:25 AM,0.008474576
8/26/2019,12:20:30 AM,0.008474576
8/26/2019,12:29:15 AM,0.008474576
8/26/2019,12:33:50 AM,0.008474576
8/26/2019,12:40:45 AM,0.008474576
8/26/2019,12:44:40 AM,0.008474576
8/26/2019,12:51:10 AM,0.008474576
8/26/2019,12:55:05 AM,0.008474576
8/26/2019,1:02:15 AM,0.008474576
8/26/2019,1:06:45 AM,0.008474576
8/26/2019,1:14:35 AM,0.008474576
8/26/2019,1:19:20 AM,0.008474576
8/26/2019,1:28:10 AM,0.008474576
8/26/2019,1:34:00 AM,0.008474576
8/26/2019,1:45:15 AM,0.008474576
8/26/2019,1:52:45 AM,0.008474576
8/26/2019,2:06:45 AM,0.008474576
8/26/2019,2:15:15 AM,0.008474576
8/26/2019,2:31:15 AM,0.008474576
8/26/2019,2:42:05 AM,0.008474576
8/26/2019,3:04:40 AM,0.008474576
8/26/2019,3:18:05 AM,0.008474576
8/26/2019,3:42:25 AM,0.008474576
8/26/2019,3:56:10 AM,0.008474576
8/26/2019,4:20:30 AM,0.008474576
8/26/2019,4:34:25 AM,0.008474576
8/26/2019,4:57:30 AM,0.008474576
8/26/2019,5:10:35 AM,0.008474576
8/26/2019,5:32:15 AM,0.008474576
8/26/2019,5:43:25 AM,0.008474576
8/26/2019,6:00:25 AM,0.008474576
8/26/2019,6:08:45 AM,0.008474576
8/26/2019,6:20:55 AM,0.008474576
8/26/2019,6:27:05 AM,0.008474576
8/26/2019,6:37:00 AM,0.008474576
8/26/2019,6:42:15 AM,0.008474576
8/26/2019,6:50:50 AM,0.008474576
8/26/2019,6:55:35 AM,0.008474576
8/26/2019,7:03:40 AM,0.008474576
8/26/2019,7:08:20 AM,0.008474576
8/26/2019,7:16:25 AM,0.008474576
8/26/2019,7:21:15 AM,0.008474576
8/26/2019,7:30:30 AM,0.008474576
8/26/2019,7:36:00 AM,0.008474576
8/26/2019,7:46:00 AM,0.008474576
8/26/2019,7:52:05 AM,0.008474576
8/26/2019,8:04:35 AM,0.008474576
8/26/2019,8:15:00 AM,0.008474576
8/27/2019,12:04:20 AM,0.008474576
8/27/2019,12:06:45 AM,0.008474576
8/27/2019,12:12:55 AM,0.008474576
8/27/2019,12:16:00 AM,0.008474576
8/27/2019,12:21:25 AM,0.008474576
8/27/2019,12:24:25 AM,0.008474576
8/27/2019,12:29:10 AM,0.008474576
8/27/2019,12:31:40 AM,0.008474576
8/27/2019,12:36:35 AM,0.008474576
8/27/2019,12:39:40 AM,0.008474576
8/27/2019,12:45:25 AM,0.008474576
8/27/2019,12:48:50 AM,0.008474576
8/27/2019,12:54:50 AM,0.008474576
8/27/2019,12:58:15 AM,0.008474576
8/27/2019,1:03:25 AM,0.008474576
8/27/2019,1:05:50 AM,0.008474576
8/27/2019,1:09:55 AM,0.008474576
8/27/2019,1:12:15 AM,0.008474576
8/27/2019,1:16:10 AM,0.008474576
8/27/2019,1:18:30 AM,0.008474576
8/27/2019,1:22:20 AM,0.008474576
8/27/2019,1:24:25 AM,0.008474576
8/27/2019,1:27:55 AM,0.008474576
8/27/2019,1:30:00 AM,0.008474576
8/27/2019,1:33:30 AM,0.008474576
8/27/2019,1:35:55 AM,0.008474576
8/27/2019,1:39:40 AM,0.008474576
8/27/2019,1:42:05 AM,0.008474576
8/27/2019,1:46:15 AM,0.008474576
8/27/2019,1:48:50 AM,0.008474576
8/27/2019,1:53:20 AM,0.008474576
8/27/2019,1:56:15 AM,0.008474576
8/27/2019,2:01:25 AM,0.008474576
8/27/2019,2:04:35 AM,0.008474576
8/27/2019,2:10:20 AM,0.008474576
8/27/2019,2:13:50 AM,0.008474576
8/27/2019,2:20:15 AM,0.008474576
8/27/2019,2:24:20 AM,0.008474576
